name,zip,address,lat,lon
,,,,
Callahan Neighborhood Center,32801,"101 N Parramore Ave #1713, Orlando, FL 32801",28.54431501,-81.38855367
Colonialtown Neighborhood Center,32803,"1517 Lake Highland Dr #2605, Orlando, FL 32803",28.56178548,-81.36099835
Langford Neighborhood Center,32803,"1808 E Central Blvd, Orlando, FL 32803",28.54260997,-81.35760678
College Park Neighborhood Center,32804,"2393 Elizabeth Ave #5409, Orlando, FL 32804",28.57303151,-81.38432966
Grand Avenue Neighborhood Center,32805,"800 Grand St, Orlando, FL 32805",28.52558789,-81.39046061
John H. Jackson Neighborhood Center,32805,"1002 Carter St, Orlando, FL 32805",28.53359213,-81.39430733
Holden Heights Community Center,32805,"1201 20th St, Orlando, FL 32805",28.52139876,-81.395821
Dr. James R. Smith Neighborhood Center,32805,"1723 Bruton Blvd, Orlando, FL 32805",28.52082094,-81.42523775
Rock Lake Neighborhood Center,32805,"440 N Tampa Ave, Orlando, FL 32805",28.54853477,-81.40775834
Wadeview Community Center,32806,"2177 S Summerlin Ave, Orlando, FL 32806",28.51699658,-81.36740547
Engelwood Neighborhood Center,32807,"6123 La Costa Dr #2931, Orlando, FL 32807",28.52892437,-81.30077624
Northwest Neighborhood Center/Hal Marston Community Center,32808,"3955 W D Judge Dr, Orlando, FL 32808",28.56076057,-81.42752524
Pine Hills Neighborhood Center for Families (Satellite Office),32808,"2804 Belco Dr, Orlando, FL 32808",28.58038483,-81.45451994
Rosemont Community Center,32808,"4872 Rose Bay Dr, Orlando, FL 32808",28.60150384,-81.43977832
Oak Ridge Neighborhood Center for Families (inside a middle school),32809,"150 Amidon Ln, Orlando, FL 32809",28.45996227,-81.37689101
Thrift Shop Community Center,32810,5590 N Orange Blossom Trl,28.609436,-81.42722
Community Empowerment Center Inc,32810,6630 N Orange Blossom Trl,28.616253,-81.437721
Arab American Community Center,32811,933 Lee Rd,28.606962,-81.394331
Ivey Lane Recreational Center,32811,291 Silverton Ave,28.54307,-81.438647
Ivey Lane Neighborhood Center,32811,"5151 Raleigh St, #C",28.52774429,-81.44994354
Dover Shores Community Center,32812,1400 Gaston Foster Rd,28.525598,-81.325952
Union Park Neighborhood Center,32817,9839 E Colonial Dr,28.568776,-81.246831
Clarcona Community Center,32818,5771 Apopka Vineland Rd N,28.386689,-81.506248
Pine Hills Community Center,32818,6408 Jennings Rd,28.566197,-81.468737
Orange Tree Recreation Center,32819,7201 Woodgreen Dr,28.473832,-81.47997
Dr. P. Phillips YMCA Family Center,32819,7000 Dr Phillips Blvd,28.4522,-81.4678
Angels Adult Community Centers,32822,3303 S Semoran Blvd,28.480132,-81.310213
Orange County Orlando Magic Recreation Center,32824,1751 Rhode Island Woods Cir,28.361387,-81.368525
Lake Nona YMCA Family Center,32827,9055 Northlake Pkwy,28.422166,-81.260345
South Econ Recreation Center,32829,"3800 S Econlockhatchee Trail, Orlando, FL 32829",28.496519,-81.2569704
FDC Central Florida Reception Center,32831,"7000 H C Kelley Rd, Orlando, FL 32831",28.4634304,-81.153836
Randal Park Community Center,32832,"8730 Randal Park Blvd, Orlando, FL 32832",28.439995,-81.237138
Orlo Vista Park,32835,"1 N Powers Dr, Orlando, FL 32835",28.5419986,-81.4662338
Big Hawk Recreation Center,32837,"13709 Hawk Lake Dr, Orlando, FL 32837",28.3621855,-81.3928254
Leesburg Recreation & Parks,34748,"1851 Griffin Rd, Leesburg, FL 34748",28.82819356,-81.8931489
Ocoee Lakeshore Center,34761,"125 N Lakeshore Dr, Ocoee, FL 34761",28.5712314,-81.5429707
Narcoossee Community Center and Park,34771,"5354 Rambling Rd, St Cloud, FL 34771",28.2987166,-81.2261232
Eastmonte Park,32701,"830 Magnolia Dr, Altamonte Springs, FL 32701",28.65747833,-81.36151123
Hunt Club Pediatrics,32703,"425 S Hunt Club Blvd #1051, Apopka, FL 32703",28.6716635,-81.4493124
Apopka Community Center,32703,"519 S Central Ave, Apopka, FL 32703",28.6714204,-81.5110561
Community Health Centers,32703,"618 S Forest Ave, Apopka, FL 32703",28.670465,-81.507538
"Community Health Centers, Apopka",32703,"225 E 7th St, Apopka, FL 32703",28.6698208,-81.5068325
Community Health Centers,32703,"210 E 7th St, Apopka, FL 32703",28.6693921,-81.5071384
John Bridges Community Center,32703,"445 W 13th St, Apopka, FL 32703",28.66199,-81.520863
Fran Carlton Recreation Center,32703,"11 N Forest Ave, Apopka, FL 32703",28.678093,-81.507333
Hope CommUnity Center,32703,"800 S Hawthorne Ave, Apopka, FL 32703",28.6682934,-81.5187005
Winter Springs Civic Center,32708,"400 N Edgemon Ave, Winter Springs, FL 32708",28.705219,-81.307198
Westmonte Park,32714,"624 Bills Ln, Altamonte Springs, FL 32714",28.652241,-81.408157
Lake Mary Community Center,32746,"140 E Wilbur Ave, Lake Mary, FL 32746",28.759971,-81.3241171
Lake Mary Parks & Recreation,32746,"140 E Wilbur Ave, Lake Mary, FL 32746",28.759971,-81.3241171
J. Douglas Williams YMCA Family Center,32746,"665 Longwood Lake Mary Rd, Lake Mary, FL 32746",28.752394,-81.3351716
Hill Recreation Center,32751,"300 Sybelia Ave, Maitland, FL 32751",28.631124,-81.367846
Denton Johnson Community Center,32751,"400 Ruffel St, Eatonville, FL 32751",28.614823,-81.378625
Maitland Community Park,32751,"1400 Mayo Ave, Maitland, FL 32751",28.637819,-81.353027
