name,zip,address,lat,lon
Callahan Neighborhood Center,32801,"101 N Parramore Ave #1713, Orlando, FL 32801",28.54431501,-81.38855367
Colonialtown Neighborhood Center,32803,"1517 Lake Highland Dr #2605, Orlando, FL 32803",28.56178548,-81.36099835
Mayor Carl T. Langford Neighborhood Center,32803,"1808 E Central Blvd, Orlando, FL 32803",28.54260997,-81.35760678
College Park Neighborhood Center,32804,"2393 Elizabeth Ave #5409, Orlando, FL 32804",28.57303151,-81.38432966
Grand Avenue Neighborhood Center,32805,"800 Grand St, Orlando, FL 32805",28.52558789,-81.39046061
John H. Jackson Neighborhood Center,32805,"1002 Carter St, Orlando, FL 32805",28.53359213,-81.39430733
Holden Heights Community Center,32805,"1201 20th St, Orlando, FL 32805",28.52139876,-81.395821
Dr. James R. Smith Neighborhood Center,32805,"1723 Bruton Blvd, Orlando, FL 32805",28.52082094,-81.42523775
Rock Lake Neighborhood Center,32805,"440 N Tampa Ave, Orlando, FL 32805",28.54853477,-81.40775834
Wadeview Community Center,32806,"2177 S Summerlin Ave, Orlando, FL 32806",28.51699658,-81.36740547
Engelwood Neighborhood Center,32807,"6123 La Costa Dr #2931, Orlando, FL 32807",28.52892437,-81.30077624
Northwest Neighborhood Center,32808,"3955 W D Judge Dr, Orlando, FL 32808",28.56076057,-81.42752524
Pine Hills Community Center,32818,"6408 Jennings Rd, Orlando, FL 32818",28.566197,-81.468737
Rosemont Community Center,32808,"4872 Rose Bay Dr, Orlando, FL 32808",28.60150384,-81.43977832
Pine Hills Neighborhood Center for Families,32808,"2804 Belco Dr, Orlando, FL 32808",28.58038483,-81.45451994
Oak Ridge Neighborhood Center,32809,"150 Amidon Ln, Orlando, FL 32809",28.45996227,-81.37689101
Dover Shores Community Center,32812,"1400 Gaston Foster Rd, Orlando, FL 32812",28.525598,-81.325952
Orlo Vista Park,32835,"1 N Powers Dr, Orlando, FL 32835",28.5419986,-81.4662338
Meadow Woods Recreation Center,32824,"1751 Rhode Island Woods Cir, Orlando, FL 32824",28.3729029,-81.3455015
South Econ Community Park,32829,"3800 S Econlockhatchee Trail, Orlando, FL 32829",28.496519,-81.2569704
Big Hawk Recreation Center,32837,"13709 Hawk Lake Dr, Orlando, FL 32837",28.3621855,-81.3928254
Downtown Recreation Complex,32801,"363 N Parramore Ave, Orlando, FL 32801",28.547074,-81.3884202
Silver Star Recreation Center,32818,"2801 N Apopka Vineland Rd, Orlando, FL 32818",28.5817634,-81.4909962
Orlando Magic Recreation Center,32792,"4863 N Goldenrod Rd, Winter Park, FL 32792",28.6101098,-81.2834121
Blue Jacket Park,32814,"2501 General Rees Ave, Orlando, FL 32814",28.5760173,-81.3381848
Cypress Grove Park,32839,"290 Holden Ave, Orlando, FL 32839",28.4920336,-81.3783707
Lake Lorna Doone Park,32805,"1519 W Church St, Orlando, FL 32805",28.5411522,-81.4004062
Lake Underhill Park,32803,"4355 Lake Underhill Rd, Orlando, FL 32803",28.5376106,-81.332758
Eagle Nest Park,32811,"5165 Metrowest Blvd, Orlando, FL 32811",28.5170791,-81.449704
George Barker Park,32805,"2000 Monte Carlo Trail, Orlando, FL 32805",28.5294902,-81.4062621
Gilbert McQueen Park,32805,"650 W Lake Mann Dr, Orlando, FL 32805",28.5328728,-81.4231866
Gaston Edwards Park,32804,"1236 N Orange Ave, Orlando, FL 32804",28.5616020,-81.3740011
Lila Mitchell Ivey Lane Neighborhood Center for Families,32811,"5151 Raleigh St Ste C, Orlando, FL 32811",28.5284347,-81.4482411
Ivey Lane Park,32811,"291 Silverton St #1745, Orlando, FL 32811",28.5452447,-81.4380871
South Trail Branch Library,32839,"4600 S Orange Blossom Trl, Orlando, FL 32839",28.497142,-81.3992790
Washington Park Branch Library,32811,"5151 Raleigh St A, Orlando, FL 32811",28.5281473,-81.4483484
Southeast Branch Library,32822,"5575 S Semoran Blvd Suite 46, Orlando, FL 32822",28.4812301,-81.3073184
Fairview Shores Branch Library,32810,"902 Lee Rd #26, Orlando, FL 32810",28.6046027,-81.3948139
Chickasaw Branch Library,32825,"870 N Chickasaw Trail, Orlando, FL 32825",28.5552139,-81.2785083
Southwest Branch Library,32819,"7255 Della Dr, Orlando, FL 32819",28.4558319,-81.4897236
Ocoee Lakeshore Center,34761,"125 N Lakeshore Dr, Ocoee, FL 34761",28.5711786,-81.5429675
Eastmonte Park,32701,"830 Magnolia Dr, Altamonte Springs, FL 32701",28.6562980,-81.3602510
Westmonte Park,32714,"624 Bills Ln, Altamonte Springs, FL 32714",28.6691130,-81.4080744
John Bridges Community Center,32703,"445 W 13th St, Apopka, FL 32703",28.6626022,-81.5202174
Winter Springs Civic Center,32708,"400 N Edgemon Ave, Winter Springs, FL 32708",28.7048496,-81.3089425
Lake Mary Community Center,32746,"140 E Wilbur Ave, Lake Mary, FL 32746",28.7600864,-81.3210647
Denton Johnson Community Center,32751,"400 Ruffel St, Eatonville, FL 32751",28.6146034,-81.378197
Minnehaha Park,32751,"1011 E Horatio Ave, Maitland, FL 32751",28.6276990,-81.355991
Maitland Senior Center,32751,"345 Maitland Ave S, Maitland, FL 32751",28.6250666,-81.3660945
Oviedo Recreation & Parks,32765,"148 Oviedo Blvd, Oviedo, FL 32765",28.667682,-81.2018368
Winter Park Community Center,32789,"721 W New England Ave, Winter Park, FL 32789",28.5961355,-81.3579576
Azalea Lane Recreation Center,32789,"1045 Azalea Ln, Winter Park, FL 32789",28.5887818,-81.3589759
