,Callahan Neighborhood Center,Colonialtown Neighborhood Center,Mayor Carl T. Langford Neighborhood Center,College Park Neighborhood Center,Grand Avenue Neighborhood Center,John H. Jackson Neighborhood Center,Holden Heights Community Center,Dr. James R. Smith Neighborhood Center,Rock Lake Neighborhood Center,Wadeview Community Center,Engelwood Neighborhood Center,Northwest Neighborhood Center,Pine Hills Community Center,Rosemont Community Center,Pine Hills Neighborhood Center for Families,Oak Ridge Neighborhood Center,Dover Shores Community Center,Orlo Vista Park,Meadow Woods Recreation Center,South Econ Community Park,Big Hawk Recreation Center,Downtown Recreation Complex,Silver Star Recreation Center,Orlando Magic Recreation Center,Blue Jacket Park,Cypress Grove Park,Lake Lorna Doone Park,Lake Underhill Park,Eagle Nest Park,George Barker Park,Gilbert McQueen Park,Gaston Edwards Park,Lila Mitchell Ivey Lane Neighborhood Center for Families,Ivey Lane Park,South Trail Branch Library,Washington Park Branch Library,Southeast Branch Library,Fairview Shores Branch Library,Chickasaw Branch Library,Southwest Branch Library,Ocoee Lakeshore Center,Eastmonte Park,Westmonte Park,John Bridges Community Center,Winter Springs Civic Center,Lake Mary Community Center,Denton Johnson Community Center,Minnehaha Park,Maitland Senior Center,Oviedo Recreation & Parks,Winter Park Community Center,Azalea Lane Recreation Center
Callahan Neighborhood Center,0.0,2.9844,2.0605,2.612,1.7236,1.2854,2.1737,4.0501,1.5401,2.9963,6.7189,3.78,6.3591,6.5167,6.3033,0.0,5.4197,5.4553,0.0,0.0,0.0,0.3234,0.0,0.0,5.2302,4.6192,1.1396,4.161,0.0,2.0959,2.9716,2.2424,4.987,3.2021,4.0499,4.9722,0.0,5.8922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.747,0.0,0.0,0.0,5.6884,4.5046
Colonialtown Neighborhood Center,2.9019,0.0,1.5799,2.333,4.3003,4.1739,4.9237,6.7649,3.6995,3.5683,6.3399,5.5173,0.0,0.0,6.7984,0.0,4.8551,0.0,0.0,0.0,0.0,2.7568,0.0,0.0,2.3595,0.0,3.9341,3.5963,0.0,4.8363,5.6864,1.1172,0.0,5.7491,6.2527,0.0,0.0,4.8931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7479,5.2369,4.6791,0.0,2.8552,2.4099
Mayor Carl T. Langford Neighborhood Center,2.039,1.5799,0.0,3.8563,4.4037,3.5995,4.3494,6.7621,4.0487,2.469,4.6047,6.6874,0.0,0.0,0.0,0.0,3.3056,0.0,0.0,0.0,0.0,2.2879,0.0,0.0,3.4139,5.0143,3.925,2.0467,0.0,4.2619,5.6836,2.3311,0.0,6.2045,5.6062,0.0,0.0,0.0,6.0707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7602,6.2024,0.0,4.3785,3.9332
College Park Neighborhood Center,2.9769,2.1968,3.7201,0.0,4.3753,4.2488,4.9987,6.1882,3.142,5.3394,0.0,3.7236,6.3493,5.3575,4.8437,0.0,0.0,0.0,0.0,0.0,0.0,2.8215,0.0,0.0,3.9568,0.0,3.4452,6.6664,0.0,4.9113,5.1097,1.5956,0.0,5.3401,6.3277,0.0,0.0,3.1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9781,6.569,6.0111,0.0,3.0408,2.5955
Grand Avenue Neighborhood Center,1.7238,4.3423,3.8666,4.6911,0.0,0.89,0.6894,3.3517,2.6555,2.0211,0.0,4.5019,0.0,0.0,0.0,6.2435,6.4485,6.6713,0.0,0.0,0.0,1.9354,0.0,0.0,6.588,3.7553,1.7479,5.1897,6.4964,1.4407,2.4624,3.6002,4.2886,4.0189,2.4884,4.2739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8749
John H. Jackson Neighborhood Center,1.0819,3.9707,3.1748,4.3196,0.9307,0.0,1.0834,2.9069,1.9637,2.8147,0.0,3.8101,6.2456,0.0,6.1897,6.5646,5.7568,5.9795,0.0,0.0,0.0,1.2935,0.0,0.0,6.2165,4.1398,1.0903,4.4979,0.0,0.9959,2.0176,3.2287,3.8438,3.3271,2.8095,3.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6873,5.5034
Holden Heights Community Center,2.1657,5.2864,3.8046,5.6353,0.6894,1.0757,0.0,3.2897,2.5935,2.0374,0.0,4.4399,0.0,0.0,6.8195,5.6138,6.3865,6.6093,0.0,0.0,0.0,2.3768,0.0,0.0,0.0,3.189,1.6859,5.1277,5.8667,1.1205,2.4004,4.5444,4.2266,3.9569,1.8586,4.2118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8191
Dr. James R. Smith Neighborhood Center,4.0533,6.7579,6.1551,6.3161,3.3537,3.5593,3.2994,0.0,3.472,5.0837,0.0,3.5375,0.0,0.0,5.6057,0.0,0.0,4.1821,0.0,0.0,0.0,4.266,0.0,0.0,0.0,5.0296,2.8933,0.0,3.0918,2.7024,1.3931,6.0159,1.8504,2.6268,3.6993,1.8357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rock Lake Neighborhood Center,1.5401,3.6893,4.0384,3.2118,2.6558,1.8515,2.6014,3.4689,0.0,4.5855,0.0,2.6044,5.1937,6.0077,4.9139,0.0,0.0,4.874,0.0,0.0,0.0,1.7528,0.0,0.0,5.935,5.6466,1.0865,5.7751,6.2806,1.9981,2.3903,2.9472,4.4057,2.6208,4.3162,4.391,0.0,5.6879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3932,5.2093
Wadeview Community Center,3.0479,3.5683,2.469,5.5968,2.0209,2.774,2.0372,5.6583,4.5119,0.0,6.3307,6.3546,0.0,0.0,0.0,6.1672,3.3076,0.0,0.0,0.0,0.0,3.3998,0.0,0.0,5.814,2.7864,3.5922,3.7727,0.0,3.1595,4.3464,3.4541,6.1726,5.8716,3.6397,6.1578,6.7695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0065,5.5612
Engelwood Neighborhood Center,6.8325,6.3105,4.8124,0.0,0.0,0.0,0.0,0.0,0.0,6.7024,0.0,0.0,0.0,0.0,0.0,0.0,1.9649,0.0,0.0,4.8316,0.0,0.0,0.0,0.0,5.7615,0.0,0.0,2.8013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2146,0.0,3.4361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northwest Neighborhood Center,3.7766,5.5306,6.2856,3.9123,4.494,3.6898,4.4397,3.5503,2.6111,6.419,0.0,0.0,3.9244,4.8187,2.7242,0.0,0.0,3.6583,0.0,0.0,0.0,3.6913,5.0942,0.0,0.0,0.0,3.2542,0.0,5.2265,3.89,3.4267,4.7885,3.4625,1.5668,6.1658,3.4478,0.0,5.3816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5585,6.1132
Pine Hills Community Center,6.6132,0.0,0.0,6.4861,0.0,6.1538,0.0,0.0,5.1981,0.0,0.0,3.9589,0.0,4.2905,1.8495,0.0,0.0,1.8009,0.0,0.0,0.0,6.2784,2.5763,0.0,0.0,0.0,5.7126,0.0,5.0826,6.354,5.8907,0.0,4.2113,3.6457,0.0,4.1965,0.0,0.0,0.0,0.0,6.0897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
