name,zip_code,address,lat,lon,bus_stop_count,Median_Income,Population_Size,Pop_Density_per_sqmi,food_desert_score
Callahan Neighborhood Center,32801,"101 N Parramore Ave #1713, Orlando, FL 32801",28.544315,-81.388554,15,80871,17728,8021.72,1
Colonialtown Neighborhood Center,32803,"1517 Lake Highland Dr #2605, Orlando, FL 32803",28.561785,-81.360998,2,75474,20148,2602.0,0
Mayor Carl T. Langford Neighborhood Center,32803,"1808 E Central Blvd, Orlando, FL 32803",28.54261,-81.357607,0,75474,20148,2602.0,1
College Park Neighborhood Center,32804,"2393 Elizabeth Ave #5409, Orlando, FL 32804",28.573032,-81.38433,2,79707,18023,2231.0,0
Grand Avenue Neighborhood Center,32805,"800 Grand St, Orlando, FL 32805",28.525588,-81.390461,6,40515,23331,3428.51,1
John H. Jackson Neighborhood Center,32805,"1002 Carter St, Orlando, FL 32805",28.533592,-81.394307,11,40515,23331,3428.51,0
Holden Heights Community Center,32805,"1201 20th St, Orlando, FL 32805",28.521399,-81.395821,4,40515,23331,3428.51,1
Dr. James R. Smith Neighborhood Center,32805,"1723 Bruton Blvd, Orlando, FL 32805",28.520821,-81.425238,8,40515,23331,3428.51,1
Rock Lake Neighborhood Center,32805,"440 N Tampa Ave, Orlando, FL 32805",28.548535,-81.407758,0,40515,23331,3428.51,0
Wadeview Community Center,32806,"2177 S Summerlin Ave, Orlando, FL 32806",28.516997,-81.367405,0,89046,26582,3894.8,0
Engelwood Neighborhood Center,32807,"6123 La Costa Dr #2931, Orlando, FL 32807",28.528924,-81.300776,5,59971,34384,4093.33,1
Northwest Neighborhood Center,32808,"3955 W D Judge Dr, Orlando, FL 32808",28.560761,-81.427525,11,49700,52551,4424.6,2
Pine Hills Community Center,32818,"6408 Jennings Rd, Orlando, FL 32818",28.566197,-81.468737,4,63061,48052,4317.73,1
Rosemont Community Center,32808,"4872 Rose Bay Dr, Orlando, FL 32808",28.601504,-81.439778,4,49700,52551,4424.6,2
Pine Hills Neighborhood Center for Families,32808,"2804 Belco Dr, Orlando, FL 32808",28.580385,-81.45452,13,49700,52551,4424.6,2
Oak Ridge Neighborhood Center,32809,"150 Amidon Ln, Orlando, FL 32809",28.459962,-81.376891,0,57879,29478,2838.24,1
Dover Shores Community Center,32812,"1400 Gaston Foster Rd, Orlando, FL 32812",28.525598,-81.325952,4,73149,34586,4061.3,1
Orlo Vista Park,32835,"1 N Powers Dr, Orlando, FL 32835",28.541999,-81.466234,0,71418,45380,4830.74,1
Meadow Woods Recreation Center,32824,"1751 Rhode Island Woods Cir, Orlando, FL 32824",28.372903,-81.345501,2,84841,57412,1714.0,0
