origin_node_id,dest_node_id,origin_cc_name,dest_cc_name,route_number,route_name,line_id,origin_stop_name,origin_stop_id,origin_stop_lat,origin_stop_lon,walk_to_stop_miles,dest_stop_name,dest_stop_id,dest_stop_lat,dest_stop_lon,walk_from_stop_miles,cc_to_cc_distance_miles,total_trip_miles
CC_001,CC_005,Callahan Neighborhood Center,Grand Avenue Neighborhood Center,19,RICHMOND HTS,16848,S TERRY AVE AND W CENTRAL BLVD,9285,28.541868,-81.386929,0.203,GRAND ST AND S WESTMORELAND DR,4656,28.526549,-81.39351,0.221,1.3,1.72
CC_001,CC_008,Callahan Neighborhood Center,Dr. James R. Smith Neighborhood Center,19,RICHMOND HTS,16848,S TERRY AVE AND W CENTRAL BLVD,9285,28.541868,-81.386929,0.203,BRUTON BLVD AND WELLS ST,5099,28.52061,-81.426141,0.064,3.01,3.28
CC_001,CC_020,Callahan Neighborhood Center,Ivey Lane Neighborhood Center,21,RALEIGH ST/KIRKMAN RD/ UNIV STUDIOS,16850,W CENTRLAL BLVD AND N PARRAMORE AVE,4165,28.542099,-81.388789,0.154,RALEIGH ST AND POPPY AVE,6251,28.5277,-81.449658,0.02,4.39,4.56
CC_001,CC_012,Callahan Neighborhood Center,Northwest Neighborhood Center/Hal Marston Community Center,25,MERCY DR/SHADER RD,16853,W WASHINGTON ST AND N PARRAMORE AVE,4200,28.543807,-81.38852,0.035,W D JUDGE DR AND FERGUSON DR,2032,28.559811,-81.424901,0.193,2.92,3.15
CC_002,CC_004,Colonialtown Neighborhood Center,College Park Neighborhood Center,125,SILVER STAR RD,16844,N MILLS AVE AND LAKE HIGHLAND DR,4640,28.561632,-81.364575,0.247,W PRINCETON ST AND ELIZABETH AVE,4676,28.571111,-81.385001,0.14,1.79,2.18
CC_002,CC_013,Colonialtown Neighborhood Center,Pine Hills Neighborhood Center for Families,125,SILVER STAR RD,16844,N MILLS AVE AND LAKE HIGHLAND DR,4640,28.561632,-81.364575,0.247,Pine Hills Transfer Center,10087,28.579749,-81.454648,0.045,6.58,6.87
CC_004,CC_013,College Park Neighborhood Center,Pine Hills Neighborhood Center for Families,125,SILVER STAR RD,16844,W PRINCETON ST AND ELIZABETH AVE,4676,28.571111,-81.385001,0.14,Pine Hills Transfer Center,10087,28.579749,-81.454648,0.045,4.87,5.05
CC_005,CC_008,Grand Avenue Neighborhood Center,Dr. James R. Smith Neighborhood Center,19,RICHMOND HTS,16848,GRAND ST AND S WESTMORELAND DR,4656,28.526549,-81.39351,0.221,BRUTON BLVD AND WELLS ST,5099,28.52061,-81.426141,0.064,2.42,2.71
CC_006,CC_007,John H. Jackson Neighborhood Center,Holden Heights Community Center,8,W. OAK RIDGE RD/INTL. DR,16831,S WESTMORELAND DR AND W ANDERSON ST,4580,28.53633,-81.393048,0.208,S ORANGE BLOSSOM TRL AND W KALEY AVE,5470,28.51993,-81.396937,0.127,0.85,1.19
CC_006,CC_026,John H. Jackson Neighborhood Center,Dr. P. Phillips YMCA Family Center,8,W. OAK RIDGE RD/INTL. DR,16831,S WESTMORELAND DR AND W ANDERSON ST,4580,28.53633,-81.393048,0.208,INTERNATIONAL DR AND W SAND LAKE RD,2412,28.452486,-81.470898,0.215,7.57,7.99
CC_007,CC_026,Holden Heights Community Center,Dr. P. Phillips YMCA Family Center,8,W. OAK RIDGE RD/INTL. DR,16831,S ORANGE BLOSSOM TRL AND W KALEY AVE,5470,28.51993,-81.396937,0.127,INTERNATIONAL DR AND W SAND LAKE RD,2412,28.452486,-81.470898,0.215,6.89,7.23
CC_012,CC_019,Northwest Neighborhood Center/Hal Marston Community Center,Ivey Lane Recreational Center,20,MALIBU STREET/MERCY DR.,16849,MERCY  DR AND KALWIT  LN,3306,28.561872,-81.430602,0.226,N FANFAIR AVE AND EDGEMOOR ST,5948,28.54224,-81.437335,0.107,1.44,1.77
CC_013,CC_014,Pine Hills Neighborhood Center for Families,Rosemont Community Center,9,WINTER PARK/ROSEMONT,16832,Pine Hills Transfer Center,10082,28.579917,-81.454482,0.032,ROSE BAY DR AND LANDING DR,3324,28.598057,-81.439211,0.241,1.78,2.05
CC_013,CC_016,Pine Hills Neighborhood Center for Families,Thrift Shop Community Center,9,WINTER PARK/ROSEMONT,16832,Pine Hills Transfer Center,10082,28.579917,-81.454482,0.032,CINDERLN PKY AND ROSEWOOD WAY,3314,28.607314,-81.429947,0.238,2.75,3.02
CC_013,CC_061,Pine Hills Neighborhood Center for Families,Winter Park Community Center,9,WINTER PARK/ROSEMONT,16832,Pine Hills Transfer Center,10082,28.579917,-81.454482,0.032,S DENNING DR AND W COMSTOCK AVE,3210,28.593643,-81.360873,0.209,6.69,6.93
CC_013,CC_024,Pine Hills Neighborhood Center for Families,Pine Hills Community Center,48,W. COLONIAL DR/POWERS DRIVE,16883,Pine Hills Transfer Center,10078,28.579098,-81.45449,0.089,N POWERS DR AND JENNINGS RD,2042,28.566614,-81.467606,0.083,1.39,1.56
CC_013,CC_040,Pine Hills Neighborhood Center for Families,Apopka Community Center,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,Pine Hills Transfer Center,10088,28.580015,-81.454644,0.027,S CENTRAL AVE AND M A BROAD ST,10121,28.670134,-81.511021,0.089,7.39,7.51
CC_013,CC_043,Pine Hills Neighborhood Center for Families,Community Health Centers,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,Pine Hills Transfer Center,10088,28.580015,-81.454644,0.027,S PARK AVE AND E 8TH ST,2988,28.66796,-81.509504,0.191,7.13,7.35
CC_013,CC_042,Pine Hills Neighborhood Center for Families,Community Health Centers Apopka,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,Pine Hills Transfer Center,10088,28.580015,-81.454644,0.027,S PARK AVE AND E 8TH ST,2988,28.66796,-81.509504,0.225,7.15,7.4
CC_013,CC_044,Pine Hills Neighborhood Center for Families,Fran Carlton Recreation Center,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,Pine Hills Transfer Center,10088,28.580015,-81.454644,0.027,S PARK AVE AND E 2ND ST,2999,28.675819,-81.50933,0.209,7.66,7.9
CC_014,CC_016,Rosemont Community Center,Thrift Shop Community Center,9,WINTER PARK/ROSEMONT,16832,ROSE BAY DR AND LANDING DR,3324,28.598057,-81.439211,0.241,CINDERLN PKY AND ROSEWOOD WAY,3314,28.607314,-81.429947,0.238,1.02,1.5
CC_014,CC_061,Rosemont Community Center,Winter Park Community Center,9,WINTER PARK/ROSEMONT,16832,ROSE BAY DR AND LANDING DR,3324,28.598057,-81.439211,0.241,S DENNING DR AND W COMSTOCK AVE,3210,28.593643,-81.360873,0.209,5.6,6.05
CC_016,CC_061,Thrift Shop Community Center,Winter Park Community Center,9,WINTER PARK/ROSEMONT,16832,CINDERLN PKY AND ROSEWOOD WAY,3314,28.607314,-81.429947,0.238,S DENNING DR AND W COMSTOCK AVE,3210,28.593643,-81.360873,0.209,4.81,5.26
