name,zip_code,address,lat,lon,bus_stop_count,Orlando_Zip_Data_Clean_Median_Income,Orlando_Zip_Data_Clean_Population_Size,Orlando_Zip_Data_Clean_Pop_Density_per_sqmi,FL_FoodDesert_Scored_v2_food_desert_score
Callahan Neighborhood Center,"32801","101 N Parramore Ave #1713, Orlando, FL 32801",28.5443150085752,-81.3885536743194,17,"80871","17728",8021.72,"1"
Colonialtown Neighborhood Center,"32803","1517 Lake Highland Dr #2605, Orlando, FL 32803",28.5617854847023,-81.3609983487389,5,,,,"0"
Langford Neighborhood Center,"32803","1808 E Central Blvd, Orlando, FL 32803",28.5426099669086,-81.3576067785374,0,,,,"1"
College Park Neighborhood Center,"32804","2393 Elizabeth Ave #5409, Orlando, FL 32804",28.5730315079445,-81.3843296647297,2,,,,"0"
Grand Avenue Neighborhood Center,"32805","800 Grand St, Orlando, FL 32805",28.525587894594,-81.3904606148156,6,"40515","23331",3428.51,"1"
John H. Jackson Neighborhood Center,"32805","1002 Carter St, Orlando, FL 32805",28.5335921323459,-81.3943073339917,11,"40515","23331",3428.51,"1"
Holden Heights Community Center,"32805","1201 20th St, Orlando, FL 32805",28.5213987556577,-81.3958210016282,4,"40515","23331",3428.51,"1"
Dr. James R. Smith Neighborhood Center,"32805","1723 Bruton Blvd, Orlando, FL 32805",28.5208209382595,-81.4252377538227,8,"40515","23331",3428.51,"1"
Rock Lake Neighborhood Center,"32805","440 N Tampa Ave, Orlando, FL 32805",28.5485347675807,-81.4077583379644,0,"40515","23331",3428.51,"0"
Wadeview Community Center,"32806","2177 S Summerlin Ave, Orlando, FL 32806",28.5169965765254,-81.3674054742014,0,"89046","26582",3894.8,"0"
Engelwood Neighborhood Center,"32807","6123 La Costa Dr #2931, Orlando, FL 32807",28.5289243681834,-81.3007762380229,5,"59971","34384",4093.33,"1"
Northwest Neighborhood Center/Hal Marston Community Center,"32808","3955 W D Judge Dr, Orlando, FL 32808",28.5607605694946,-81.4275252384694,13,"49700","52551",4424.6,"2"
Pine Hills Neighborhood Center for Families,"32808","2804 Belco Dr, Orlando, FL 32808",28.5803848330599,-81.4545199442294,13,"49700","52551",4424.6,"1"
Rosemont Community Center,"32808","4872 Rose Bay Dr, Orlando, FL 32808",28.601503844819,-81.4397783239169,4,"49700","52551",4424.6,"2"
Oak Ridge Neighborhood Center for Families,"32809","150 Amidon Ln, Orlando, FL 32809",28.4599622669341,-81.3768910131974,0,"57879","29478",2838.24,"1"
Thrift Shop Community Center,"32810","5590 N Orange Blossom Trl, Orlando, FL 32810",28.609436,-81.42722,8,"60799","35925",3918.52,"2"
Community Empowerment Center Inc,"32810","6630 N Orange Blossom Trl, Orlando, FL 32810",28.616253,-81.437721,4,"60799","35925",3918.52,"2"
Arab American Community Center,"32811","933 Lee Rd, Orlando, FL 32811",28.606962,-81.394331,5,"54082","42274",5089.57,"0"
Ivey Lane Recreational Center,"32811","291 Silverton Ave, Orlando, FL 32811",28.54307,-81.438647,9,"54082","42274",5089.57,"2"
Ivey Lane Neighborhood Center,"32811","5151 Raleigh St, Orlando, FL 32811",28.5277442932128,-81.4499435424804,5,"54082","42274",5089.57,"2"
Dover Shores Community Center,"32812","1400 Gaston Foster Rd, Orlando, FL 32812",28.525598,-81.325952,5,"73149","34586",4061.3,"0"
Union Park Neighborhood Center,"32817","9839 E Colonial Dr, Orlando, FL 32817",28.568776,-81.246831,4,"80711","40376",3441.82,"2"
Clarcona Community Center,"32818","5771 Apopka Vineland Rd N, Orlando, FL 32818",28.386689,-81.506248,4,"63061","48052",4317.73,"0"
Pine Hills Community Center,"32818","6408 Jennings Rd, Orlando, FL 32818",28.566197,-81.468737,4,"63061","48052",4317.73,"1"
Orange Tree Recreation Center,"32819","7201 Woodgreen Dr, Orlando, FL 32819",28.473832,-81.47997,0,"98109","30857",1493.13,"0"
Dr. P. Phillips YMCA Family Center,"32819","7000 Dr Phillips Blvd, Orlando, FL 32819",28.4522,-81.4678,4,"98109","30857",1493.13,"1"
Angels Adult Community Centers,"32822","3303 S Semoran Blvd, Orlando, FL 32822",28.480132,-81.310213,8,"56540","64120",4713.32,"2"
Orange County Orlando Magic Recreation Center,"32824","1751 Rhode Island Woods Cir, Orlando, FL 32824",28.361387,-81.368525,4,"84841","57412",1714,"0"
Lake Nona YMCA Family Center,"32827","9055 Northlake Pkwy, Orlando, FL 32827",28.422166,-81.260345,0,"117483","19042",839.85,"0"
South Econ Recreation Center,"32829","3800 S Econlockhatchee Trail, Orlando, FL 32829",28.496519,-81.2569704,0,,,,"0"
FDC Central Florida Reception Center,"32831","7000 H C Kelley Rd, Orlando, FL 32831",28.4634304,-81.153836,0,,,,"0"
Randal Park Community Center,"32832","8730 Randal Park Blvd, Orlando, FL 32832",28.439995,-81.237138,0,,,,"0"
Orlo Vista Park,"32835","1 N Powers Dr, Orlando, FL 32835",28.5419986,-81.4662338,0,"71418","45380",4830.74,"1"
Big Hawk Recreation Center,"32837","13709 Hawk Lake Dr, Orlando, FL 32837",28.3621855,-81.3928254,0,"88848","56813",3116.97,"0"
Leesburg Recreation & Parks,"34748","1851 Griffin Rd, Leesburg, FL 34748",28.82819356,-81.8931489,0,"58192","45481",1153.14,"2"
Ocoee Lakeshore Center,"34761","125 N Lakeshore Dr, Ocoee, FL 34761",28.5712314,-81.5429707,0,"96415","48193",2760.99,"0"
Narcoossee Community Center and Park,"34771","5354 Rambling Rd, St Cloud, FL 34771",28.2987166,-81.2261232,0,"97415","26503",170.29,"0"
Eastmonte Park,"32701","830 Magnolia Dr, Altamonte Springs, FL 32701",28.6574783325195,-81.3615112304687,0,"62198","23265",4129.39,"0"
Hunt Club Pediatrics,"32703","425 S Hunt Club Blvd #1051, Apopka, FL 32703",28.6716635,-81.4493124,4,"72880","54805",1707.16,"0"
Apopka Community Center,"32703","519 S Central Ave, Apopka, FL 32703",28.6714204,-81.5110561,6,"72880","54805",1707.16,"2"
Community Health Centers,"32703","618 S Forest Ave, Apopka, FL 32703",28.670465,-81.507538,11,"72880","54805",1707.16,"2"
Community Health Centers Apopka,"32703","225 E 7th St, Apopka, FL 32703",28.6698208,-81.5068325,7,"72880","54805",1707.16,"2"
Community Health Centers,"32703","210 E 7th St, Apopka, FL 32703",28.6693921,-81.5071384,8,"72880","54805",1707.16,"2"
