name,zip,address,lat,lon
Callahan Neighborhood Center,32801,"101 N Parramore Ave #1713, Orlando, FL 32801",28.544315008575200,-81.388553674319400
Colonialtown Neighborhood Center,32803,"1517 Lake Highland Dr #2605, Orlando, FL 32803",28.561785484702300,-81.360998348738900
Langford Neighborhood Center,32803,"1808 E Central Blvd, Orlando, FL 32803",28.542609966908600,-81.357606778537400
College Park Neighborhood Center,32804,"2393 Elizabeth Ave #5409, Orlando, FL 32804",28.573031507944500,-81.384329664729700
Grand Avenue Neighborhood Center,32805,"800 Grand St, Orlando, FL 32805",28.525587894594000,-81.390460614815600
John H. Jackson Neighborhood Center,32805,"1002 Carter St, Orlando, FL 32805",28.533592132345900,-81.394307333991700
Holden Heights Community Center,32805,"1201 20th St, Orlando, FL 32805",28.521398755657700,-81.395821001628200
Dr. James R. Smith Neighborhood Center,32805,"1723 Bruton Blvd, Orlando, FL 32805",28.520820938259500,-81.425237753822700
Rock Lake Neighborhood Center,32805,"440 N Tampa Ave, Orlando, FL 32805",28.548534767580700,-81.407758337964400
Wadeview Community Center,32806,"2177 S Summerlin Ave, Orlando, FL 32806",28.516996576525400,-81.367405474201400
Engelwood Neighborhood Center,32807,"6123 La Costa Dr #2931, Orlando, FL 32807",28.528924368183400,-81.300776238022900
Northwest Neighborhood Center/Hal Marston Community Center,32808,"3955 W D Judge Dr, Orlando, FL 32808",28.560760569494600,-81.427525238469400
Pine Hills Neighborhood Center for Families (Satellite Office),32808,"2804 Belco Dr, Orlando, FL 32808",28.580384833059900,-81.454519944229400
Rosemont Community Center,32808,"4872 Rose Bay Dr, Orlando, FL 32808",28.601503844819000,-81.439778323916900
Oak Ridge Neighborhood Center for Families (inside a middle school),32809,"150 Amidon Ln, Orlando, FL 32809",28.459962266934100,-81.376891013197400
Thrift Shop Community Center,32810,5590 N Orange Blossom Trl,28.609436000000000,-81.427220000000000
Community Empowerment Center Inc,32810,6630 N Orange Blossom Trl,28.616253000000000,-81.437721000000000
Arab American Community Center,32811,933 Lee Rd,28.606962000000000,-81.394331000000000
Ivey Lane Recreational Center,32811,291 Silverton Ave,28.543070000000000,-81.438647000000000
Ivey Lane Neighborhood Center,32811,"5151 Raleigh St, #C",28.527744293212800,-81.449943542480400
Dover Shores Community Center,32812,1400 Gaston Foster Rd,28.525598000000000,-81.325952000000000
Union Park Neighborhood Center,32817,9839 E Colonial Dr,28.568776000000000,-81.246831000000000
Clarcona Community Center,32818,5771 Apopka Vineland Rd N,28.386689000000000,-81.506248000000000
Pine Hills Community Center,32818,6408 Jennings Rd,28.566197000000000,-81.468737000000000
Silver Star Recreation Center,32818,"2801 N Apopka Vineland Rd, Orlando, FL 32818",,
Orange Tree Recreation Center,32819,7201 Woodgreen Dr,28.473832000000000,-81.479970000000000
Dr. P. Phillips YMCA Family Center,32819,7000 Dr Phillips Blvd,28.452200000000000,-81.467800000000000
Angels Adult Community Centers,32822,3303 S Semoran Blvd,28.480132000000000,-81.310213000000000
Orange County Orlando Magic Recreation Center,32824,1751 Rhode Island Woods Cir,28.361387000000000,-81.368525000000000
Lake Nona YMCA Family Center,32827,9055 Northlake Pkwy,28.422166000000000,-81.260345000000000
South Econ Recreation Center,32829,"3800 S Econlockhatchee Trail, Orlando, FL 32829",28.496519,"-81.2569704,"
Randal Park Community Center,32832,"8730 Randal Park Blvd, Orlando, FL 32832",28.439995,-81.237138
Orlo Vista Park,32835,"1 N Powers Dr, Orlando, FL 32835",28.5419986,-81.4662338
Big Hawk Recreation Center,32837,"13709 Hawk Lake Dr, Orlando, FL 32837",28.3621855,-81.3928254
"Universal/Millenia mall area, all commercial can't find CC",32839,N/A,N/A,N/A
This is a lakelend address not Orlando,33801,N/A,N/A,N/A
This a Hudson/Tampa address not Orlando,34369,N/A,N/A,N/A
Ocoee Lakeshore Center,34761,"125 N Lakeshore Dr, Ocoee, FL 34761",28.5712314,-81.5429707
Narcoossee Community Center and Park,34771,"5354 Rambling Rd, St Cloud, FL 34771",28.2987166,-81.2261232
This is a lakelend address not Orlando,38810,N/A,N/A,N/A
Eastmonte Park,32701,"830 Magnolia Dr, Altamonte Springs, FL 32701",28.65747833,-81.36151123
Hunt Club Pediatrics,32703,"425 S Hunt Club Blvd #1051, Apopka, FL 32703",28.6716635,-81.4493124
Apopka Community Center,32703,"519 S Central Ave, Apopka, FL 32703",28.6714204,-81.5110561
Community Health Centers,32703,"618 S Forest Ave, Apopka, FL 32703",28.670465,-81.507538
"Community Health Centers, Apopka",32703,"225 E 7th St, Apopka, FL 32703",28.6698208,-81.5068325
Community Health Centers,32703,"210 E 7th St, Apopka, FL 32703",28.6693921,-81.5071384
John Bridges Community Center,32703,"445 W 13th St, Apopka, FL 32703",28.66199,81.520863
Fran Carlton Recreation Center,32703,"11 N Forest Ave, Apopka, FL 32703",28.678093,-81.507333
Hope CommUnity Center,32703,"800 S Hawthorne Ave, Apopka, FL 32703",28.6682934,-81.5187005
Winter Springs Civic Center,32708,"400 N Edgemon Ave, Winter Springs, FL 32708",28.705219,-81.307198
Westmonte Park,32714,"624 Bills Ln, Altamonte Springs, FL 32714",28.652241,-81.408157
Lake Mary Community Center,32746,"140 E Wilbur Ave, Lake Mary, FL 32746",28.759971,28.759971
Lake Mary Parks & Recreation,32746,"140 E Wilbur Ave, Lake Mary, FL 32746",28.759971,-81.3241171
J. Douglas Williams YMCA Family Center,32746,"665 Longwood Lake Mary Rd, Lake Mary, FL 32746",28.752394,-81.3351716
Hill Recreation Center,32751,"300 Sybelia Ave, Maitland, FL 32751",28.631124,-81.367846
Denton Johnson Community Center,32751,"400 Ruffel St, Eatonville, FL 32751",28.614823,-81.378625
Maitland Community Park,32751,"1400 Mayo Ave, Maitland, FL 32751",28.637819,-81.353027
Minnehaha Park,32751,"1011 E Horatio Ave, Maitland, FL 32751",28.627441,-81.357419
Shalom Orlando Roth JCC,32751,"851 N Maitland Ave, Maitland, FL 32751",28.634435,-81.365722
Maitland Senior Center,32751,"345 Maitland Ave S, Maitland, FL 32751",28.625496,-81.365682
Oviedo Recreation & Parks,32765,"148 Oviedo Blvd, Oviedo, FL 32765",28.6657302,-81.2029651
Westside Community Center/ Boys And Girls Center,32771,"919 S Persimmon Ave, Sanford, FL 32771",28.804014,-81.288813
Jeff Triplet Community Center,32771,"1211 Mellonville Ave, Sanford, FL 32771",28.8025555,-81.2554545
Midway Community Center,32771,"2251 Jitway Ave, Sanford, FL 32771",28.789877,-81.227882
Sanford Civic Center,32771,"401 E Seminole Blvd, Sanford, FL 32771",28.813525,-81.264883
Winter Park Community Center,,"721 W New England Ave, Winter Park, FL 32789",28.59584808,-81.35879517
Azalea Lane Recreation Center,,"1045 Azalea Ln, Winter Park, FL 32789",28.5882455,-81.3593046
Center for Health and Wellbeing,,"2005 Mizell Ave #800, Winter Park, FL 32792",28.5958478,-81.3254646
