,1: Cal. Nei. Cen.,2: Col. Nei. Cen.,3: Lan. Nei. Cen.,4: Col. Par. Nei. Cen.,5: Gra. Ave. Nei. Cen.,6: Joh. H.. Jac. Nei. Cen.,7: Hol. Hei. Com. Cen.,8: Dr.. Jam. R.. Smi. Nei. Cen.,9: Roc. Lak. Nei. Cen.,10: Wad. Com. Cen.,11: Eng. Nei. Cen.,12: Nor. Nei. Cen. Mar. Com. Cen.,13: Pin. Hil. Nei. Cen. Fam. (sa. Off.,14: Ros. Com. Cen.,15: Oak. Rid. Nei. Cen. Fam. (in. Mid. Sch.,16: Thr. Sho. Com. Cen.,17: Com. Emp. Cen. Inc.,18: Ara. Ame. Com. Cen.,19: Ive. Lan. Rec. Cen.,20: Ive. Lan. Nei. Cen.,21: Dov. Sho. Com. Cen.,22: Uni. Par. Nei. Cen.,23: Cla. Com. Cen.,24: Pin. Hil. Com. Cen.,25: Ora. Tre. Rec. Cen.,26: Dr.. P.. Phi. Ymc. Fam. Cen.,27: Ang. Adu. Com. Cen.,28: Ora. Cou. Orl. Mag. Rec. Cen.,29: Lak. Non. Ymc. Fam. Cen.,30: Sou. Eco. Rec. Cen.,31: Fdc. Cen. Flo. Rec. Cen.,32: Ran. Par. Com. Cen.,33: Orl. Vis. Par.,34: Big. Haw. Rec. Cen.,35: Lee. Rec. &. Par.,36: Oco. Lak. Cen.,37: Nar. Com. Cen. Par.,38: Eas. Par.,39: Hun. Clu. Ped.,40: Apo. Com. Cen.,41: Com. Hea. Cen.,42: Com. Hea. Cen. Apo.,43: Com. Hea. Cen.,44: Joh. Bri. Com. Cen.,45: Fra. Car. Rec. Cen.,46: Hop. Com. Cen.,47: Win. Spr. Civ. Cen.,48: Wes. Par.,49: Lak. Mar. Com. Cen.,50: Lak. Mar. Par. &. Rec.,51: J.. Dou. Wil. Ymc. Fam. Cen.,52: Hil. Rec. Cen.,53: Den. Joh. Com. Cen.,54: Mai. Com. Par.,55: Min. Par.,56: Sha. Orl. Rot. Jcc.,57: Mai. Sen. Cen.,58: Ovi. Rec. &. Par.,59: Wes. Com. Cen. Boy. Gir. Cen.,60: Jef. Tri. Com. Cen.,61: Mid. Com. Cen.,62: San. Civ. Cen.,63: Win. Par. Com. Cen.,64: Aza. Lan. Rec. Cen.,65: Cen. Hea. Wel.
1: Cal. Nei. Cen.,0.0,2.9844,2.0605,2.612,1.7236,1.2853,2.1737,4.0501,1.5401,2.9505,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,3.3323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5434,0.0
2: Col. Nei. Cen.,2.9019,0.0,1.5799,2.333,4.3,4.1735,4.9234,0.0,3.6995,3.5683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7091,0.0,0.0,4.8551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6617,0.0,0.0,0.0,0.0,0.0,2.8041,2.4487,4.6222
3: Lan. Nei. Cen.,2.039,1.5799,0.0,3.8563,4.4037,3.5995,4.3494,0.0,4.0487,2.469,4.6047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3274,3.972,0.0
4: Col. Par. Nei. Cen.,2.9769,2.1968,3.7201,0.0,4.3749,4.2484,4.9984,0.0,3.142,0.0,0.0,3.7236,4.8437,0.0,0.0,4.5737,0.0,3.9393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9897,2.6344,0.0
5: Gra. Ave. Nei. Cen.,1.7238,4.3423,3.8666,4.6911,0.0,0.89,0.6894,3.3517,2.6555,2.0211,0.0,4.5019,0.0,0.0,0.0,0.0,0.0,0.0,4.1491,4.3579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6: Joh. H.. Jac. Nei. Cen.,1.0819,3.9707,3.1748,4.3196,0.9307,0.0,1.0834,2.9069,1.9637,2.8147,0.0,3.8101,0.0,0.0,0.0,0.0,0.0,0.0,3.4573,3.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7: Hol. Hei. Com. Cen.,2.1657,0.0,3.8046,0.0,0.6894,1.0757,0.0,3.2897,2.5935,2.0374,0.0,4.4399,0.0,0.0,0.0,0.0,0.0,0.0,4.0871,4.2958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8: Dr.. Jam. R.. Smi. Nei. Cen.,4.0533,0.0,0.0,0.0,3.3537,3.5593,3.2994,0.0,3.472,0.0,0.0,3.5375,0.0,0.0,0.0,0.0,0.0,0.0,2.2586,1.9197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9: Roc. Lak. Nei. Cen.,1.5401,3.6893,4.0384,3.2118,2.6558,1.8515,2.6014,3.4689,0.0,4.5855,0.0,2.6044,4.9139,0.0,0.0,0.0,0.0,0.0,2.751,4.4749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10: Wad. Com. Cen.,3.0479,3.5683,2.469,0.0,2.0209,2.774,2.0372,0.0,4.5119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11: Eng. Nei. Cen.,0.0,0.0,4.8124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9649,0.0,0.0,0.0,0.0,0.0,3.8954,0.0,0.0,4.8316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12: Nor. Nei. Cen. Mar. Com. Cen.,3.7766,0.0,0.0,3.9123,4.494,3.6898,4.4397,3.5503,2.6111,0.0,0.0,0.0,2.7242,4.8187,0.0,0.0,0.0,0.0,1.697,4.1198,0.0,0.0,0.0,3.9244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13: Pin. Hil. Nei. Cen. Fam. (sa. Off.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8988,0.0,0.0,2.7348,0.0,2.4624,0.0,3.8957,3.7091,0.0,3.6856,4.9375,0.0,0.0,0.0,1.8569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14: Ros. Com. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8151,2.4621,0.0,0.0,1.515,1.7903,3.7142,0.0,0.0,0.0,0.0,0.0,4.2789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15: Oak. Rid. Nei. Cen. Fam. (in. Mid. Sch.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16: Thr. Sho. Com. Cen.,0.0,0.0,0.0,4.5251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7459,4.124,1.7453,0.0,0.0,1.2544,2.7449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9589,0.0,0.0,0.0,4.9598,3.6427,0.0,0.0,0.0,4.7452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17: Com. Emp. Cen. Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8634,1.4848,0.0,0.7926,0.0,3.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6031,0.0,0.0,0.0,0.0,4.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18: Ara. Ame. Com. Cen.,0.0,4.8763,0.0,4.0969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6778,0.0,2.894,3.4187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9345,0.0,0.0,0.0,3.859,2.3931,4.62,4.0537,3.9538,3.4265,0.0,0.0,0.0,0.0,0.0,3.086,3.4454,0.0
19: Ive. Lan. Rec. Cen.,3.3282,0.0,0.0,0.0,4.1372,3.3328,4.0828,2.2743,2.7469,0.0,0.0,1.6998,3.689,0.0,0.0,0.0,0.0,0.0,0.0,2.8086,0.0,0.0,0.0,3.7814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20: Ive. Lan. Nei. Cen.,0.0,0.0,0.0,0.0,4.3598,0.0,4.3055,1.9197,0.0,0.0,0.0,4.0833,4.9017,0.0,0.0,0.0,0.0,0.0,2.7693,0.0,0.0,0.0,0.0,3.9751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21: Dov. Sho. Com. Cen.,0.0,4.9083,3.4102,0.0,0.0,0.0,0.0,0.0,0.0,3.3005,1.9939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22: Uni. Par. Nei. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23: Cla. Com. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24: Pin. Hil. Com. Cen.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9589,1.8495,4.2905,0.0,0.0,0.0,0.0,3.7756,3.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
